Títulos,Links
"Sport vence o Paraná, segue no Z-4, mas pode sair no próximo jogo (Marlon Costa (Pernambuco Press))",https://globoesporte.globo.com/pe/futebol/brasileirao-serie-a/jogo/02-09-2018/sport-parana.ghtml
"Campo da Arena volta a ter problemas, e Renato critica: 'Nunca vi desta forma' (Marcos Ribolli)",https://globoesporte.globo.com/rs/futebol/times/gremio/noticia/campo-da-arena-volta-a-ter-problemas-e-renato-criticanunca-vi-desta-forma.ghtml
"Barça sai atrás, mas faz 8 no Huesca com show de Messi e Alba (REUTERS/Albert Gea)",https://globoesporte.globo.com/futebol/futebol-internacional/jogo/02-09-2018/barcelona-huesca.ghtml
'Tucano' Richarlison dá moral a Pedro e quer dancinha pela Seleção (Reprodução),https://globoesporte.globo.com/programas/esporte-espetacular/noticia/sai-queixada-entra-tucano-richarlison-apoia-pedro-e-planeja-danca-pela-selecao.ghtml
mais esportes,https://globoesporte.globo.com/
Marquezine cruza red carpet em Veneza com look de fios de ouro (Reprodução Instagram),https://vogue.globo.com/beleza/gente/noticia/2018/09/bruna-marquezine-usa-look-com-fios-de-ouro-de-24-quilates-entrelacados-com-seda.html
Bruna é comparada a Dua Lipa e se irrita com fãs: 'Que saco...' (Reprodução/ Instagram),https://oglobo.globo.com/ela/gente/bruna-marquezine-posta-foto-tomando-sorvete-em-veneza-fas-dizem-que-ela-esta-parecida-com-dua-lipa-23031933
"Letícia Colin surge em foto do marido, e fãs notam 'aliança grossa' (Reprodução Instagram)",https://revistamarieclaire.globo.com/Celebridades/noticia/2018/09/leticia-colin-aparece-em-foto-postada-pelo-namorado-e-fas-notam-alianca-grossa.html
"Kelzy Ecard, a Nice de 'Segundo Sol', detona o machismo e fala de reconhecimento dos fãs",https://revistaquem.globo.com/QUEM-News/noticia/2018/09/kelzy-ecard-diz-que-denunciaria-um-feminicidio-nao-se-pode-ver-uma-violencia-sendo-cometida-e-nao-fazer-nada.html
Luísa Sonza posa de biquíni em hotel de luxo no México (Reprodução Instagram),https://revistaglamour.globo.com/Celebridades/noticia/2018/09/luisa-sonza-posa-de-biquini-em-hotel-em-tulum-com-diarias-partir-de-r-3550.html
Carla Perez chama atenção em foto de maiô: 'Corpo natural' (Reprodução / Instagram),https://revistaquem.globo.com/QUEM-News/noticia/2018/09/carla-perez-chama-atencao-em-foto-de-maio-amarelo-corpo-natural.html
Camila Queiroz 'brinca com cores' e aposta em batom marrom com acabamento matte (Reprodução Instagram),https://revistaglamour.globo.com/Celebridades/noticia/2018/09/uau-camila-queiroz-aposta-em-batom-marrom-com-acabamento-matte.html
"De biquíni, Regiane Alves segue festejando os 40 anos em Búzios (Reprodução)",https://extra.globo.com/famosos/regiane-alves-posta-foto-de-biquini-em-belo-cenario-apos-completar-40-anos-23032600.html
"Aos 51 anos, Claudia Raia impressiona com elasticidade em foto (divulgação)",https://extra.globo.com/famosos/aos-51-anos-claudia-raia-impressiona-seguidores-com-elasticidade-em-foto-23032361.html
mais variedades,https://gshow.globo.com/
Jogo famoso tem mudança radical; veja os destaques (Divulgação),https://www.techtudo.com.br/noticias/2018/09/arena-of-valor-e-fortnite-sao-destaques-mobile-da-semana.ghtml
Novo monitor curvo oferece mais imersão em jogos (Divulgação/Samsung),https://www.techtudo.com.br/noticias/2018/09/monitor-para-games-da-samsung-tem-tecnologia-qled-e-conexao-thunderbolt-3.ghtml
Smart famoso da Samsung já está mais barato no Brasil (Thássius Veloso/TechTudo),https://www.techtudo.com.br/noticias/2018/09/ainda-vale-a-pena-comprar-o-galaxy-a5-2017-conheca-preco-e-ficha-tecnica.ghtml
TV com som que sai da tela chega ao Brasil; veja preço (Divulgação/Sony),https://www.techtudo.com.br/noticias/2018/09/tv-xbr-a8f-da-sony-que-emite-som-na-tela-comeca-a-ser-vendida-no-brasil.ghtml
Chef ensina a fazer camarão em crosta de tapioca (Reprodução),https://oglobo.globo.com/gastronomia/chef-ensina-fazer-camarao-em-crosta-de-tapioca-22974506
Pastel assado fica irresistível com cogumelos ou bacon (Reprodução),https://revistacasaejardim.globo.com/Casa-e-Comida/Receitas/noticia/2018/08/pasteizinhos-assados.html
Conhece biscoito de cerveja? Veja passo a passo e 3 opções (TV Anhanguera/Reprodução),https://g1.globo.com/go/goias/noticia/2018/09/02/doceira-de-pirenopolis-ensina-como-fazer-biscoito-de-cerveja-veja-receita.ghtml
Banda de Herbert Vianna celebra público recorde (Biessa Diniz/Globo),https://gshow.globo.com/Famosos/br-day/noticia/paralamas-do-sucesso-sobre-br-day-pensar-que-nos-apresentamos-para-tanta-gente-em-nova-york-e-demais.ghtml
Ana Furtado estreia no 'BR Day': 'Energia incrível' (Divulgação),https://gshow.globo.com/Famosos/br-day/noticia/ana-furtado-estreia-no-br-day-e-declara-energia-incrivel.ghtml
Dupla ajuda brasileiros a matar saudade do país (Biessa Diniz/Gshow),https://gshow.globo.com/Famosos/br-day/noticia/matheus-and-kauan-sobre-show-no-br-day-realizacao-de-um-sonho-e-reconhecimento-de-muito-trabalho.ghtml
Confira a apresentação dos homens no forró (Gshow),https://gshow.globo.com/programas/domingao-do-faustao/danca-dos-famosos/2018/noticia/danca-dos-famosos-2018-confira-a-apresentacao-dos-homens-no-forro.ghtml
Sandy canta com Lucas e explica separação de Júnior (Reprodução),https://gshow.globo.com/programas/domingao-do-faustao/noticia/sandy-comenta-fim-da-dupla-com-junior-e-canta-ao-lado-de-lucas-lima-no-ding-dong.ghtml
"Luiz Carlos, do Raça Negra, explica história de canção (TV Globo/Fábio Rocha)",https://gshow.globo.com/programas/conversa-com-bial/noticia/vocalista-do-raca-negra-luiz-carlos-explica-historia-do-hit-e-tarde-demais.ghtml
Mãe emociona Lucas Veloso cantando música sertaneja (Raphael Dias/Gshow),https://gshow.globo.com/programas/tamanho-familia/noticia/lucas-veloso-se-emociona-com-mae-cantando-sucesso-de-zeze-di-camargo-and-luciano-no-tamanho-familia.ghtml
