Titulo,Link
['Jovem inglesa contrai doença que come a pele dos órgãos genitais; entenda o caso (Reprodução)'],['https://revistagalileu.globo.com/Ciencia/noticia/2018/08/mulher-contrai-doenca-rara-que-come-pele-dos-orgaos-genitais.html']
['MP denuncia duas técnicas por morte de bebê após injeção (Reprodução/Acervo pessoal)'],['https://g1.globo.com/pe/pernambuco/noticia/2018/08/23/mppe-denuncia-tecnicas-de-enfermagem-por-morte-de-crianca-de-um-ano-no-grande-recife.ghtml']
"[""Trump: 'Se eu sofrer um impeachment, o mercado vai desabar' (Leah Millis/Reuters)""]",['https://oglobo.globo.com/mundo/trump-se-eu-sofrer-impeachment-mercado-vai-desabar-23003792']
['mais notícias'],['https://g1.globo.com/']
"[""Mano contraria Cruzeiro e isenta Tite: 'O problema é o calendário' (Eduardo Moura)""]",['https://globoesporte.globo.com/futebol/times/cruzeiro/noticia/mano-contraria-discurso-do-cruzeiro-isenta-tite-e-indica-solucao-para-convocados.ghtml']
"['Aos 35 e sem clube, ex-Flu Cavalieri recebe sondagem do City (Reprodução / Site Oficial)']",['https://globoesporte.globo.com/futebol/futebol-internacional/futebol-ingles/noticia/com-poucas-opcoes-no-mercado-city-faz-consulta-por-diego-cavalieri.ghtml']
"['Fener faz jogo duro, mas vende ex-Vasco Souza por € 12 milhões (Reuters / Murad Sezer)']",['https://globoesporte.globo.com/futebol/futebol-internacional/noticia/volante-souza-deixa-o-fenerbahce-e-acerta-com-time-da-arabia-saudita.ghtml']
['Cuidado excessivo do técnico com Vinicius Junior pode forçar empréstimo; entenda (EFE)'],['https://globoesporte.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/lopetegui-blinda-vinicius-junior-e-emprestimo-nao-e-descartado-pelo-real.ghtml']
"[""Jornal: Real tem 'poupança' e só iria ao mercado por Neymar (Reuters)""]",['https://oglobo.globo.com/esportes/jornal-neymar-primeiro-da-lista-do-real-que-tem-poupanca-para-compra-lo-23003469']
['Peres vê premeditação no caso Sánchez e ataca Independiente (Ivan Storti/Santos FC)'],['https://sportv.globo.com/site/programas/planeta-sportv/noticia/presidente-do-santos-ve-premeditacao-em-caso-sanchez-e-reclama-do-independiente-deveria-ter-nos-avisado.ghtml']
"['Medalhista olímpico, pugilista Esquiva Falcão sofre ataque racista na web (Reprodução)']",['https://globoesporte.globo.com/boxe/noticia/esquiva-falcao-e-vitima-de-ataques-racistas-nas-redes-sociais.ghtml']
['Ex-jogador pega prisão por dizer em anúncio que a ex era prostituta (Reprodução)'],['https://extra.globo.com/noticias/page-not-found/ex-jogador-condenado-prisao-por-fazer-ex-se-passar-por-prostituta-23004301.html']
['Rivalidade com Giles e tragédias: a história de Didier Pironi na F-1 (Reprodução)'],['https://globoesporte.globo.com/blogs/voando-baixo/post/2018/08/23/precisamos-falar-sobre-didier-pironi.ghtml']
['mais esportes'],['https://globoesporte.globo.com/']
['Viviane dá uma renovada no bronze em dia de folga na praia (Reprodução)'],['https://revistaquem.globo.com/QUEM-News/noticia/2018/08/viviane-araujo-renova-o-bronze-no-rio.html']
"[""Top Winnie Harlow tira a blusa em ensaio: 'Festa corporal' (Instagram/Reprodução)""]",['https://revistaglamour.globo.com/Celebridades/noticia/2018/08/winnie-harlow-celebra-seu-corpo-em-selfie-hot.html']
"[""Tici Pinheiro e César Tralli saem juntos com os looks 'all black' (Reprodução/Instagram)""]",['https://vogue.globo.com/moda/gente/noticia/2018/08/cesar-tralli-e-tici-pinheiro-combinam-looks-all-black-para-noite-romantica.html']
