Região;SiglaUF;UF;CódigoIBGE;Município;Crime;Mês;Data;Quantidade
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;01;01/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;02;02/2012;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;03;03/2012;8
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;04;04/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;05;05/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;06;06/2012;10
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;07;07/2012;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;08;08/2012;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;09;09/2012;11
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;10/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;11/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;12/2012;7
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;01;01/2012;95
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;02;02/2012;85
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;03;03/2012;112
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;04;04/2012;111
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;05;05/2012;132
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;06;06/2012;119
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;07;07/2012;134
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;08;08/2012;106
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;09;09/2012;60
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;10/2012;94
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;11/2012;145
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;12/2012;135
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;01;01/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;02;02/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;03;03/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;04;04/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;05;05/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;06;06/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;07;07/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;08;08/2012;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;09;09/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;12/2012;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;01;01/2012;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;02;02/2012;14
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;03;03/2012;22
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;04;04/2012;7
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;05;05/2012;12
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;06;06/2012;13
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;07;07/2012;31
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;08;08/2012;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;09;09/2012;19
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;10;10/2012;29
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;11;11/2012;17
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;12;12/2012;22
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);03;03/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);04;04/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;01;01/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;02;02/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;03;03/2012;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;04;04/2012;8
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;05;05/2012;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;06;06/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;07;07/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;08;08/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;09;09/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;10;10/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;11;11/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;12;12/2012;7
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;01;01/2012;60
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;02;02/2012;44
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;03;03/2012;35
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;04;04/2012;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;05;05/2012;31
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;06;06/2012;27
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;07;07/2012;39
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;08;08/2012;26
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;09;09/2012;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;10;10/2012;10
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;11;11/2012;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;12;12/2012;28
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;01;01/2012;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;02;02/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;03;03/2012;9
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;04;04/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;05;05/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;06;06/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;07;07/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;08;08/2012;8
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;09;09/2012;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;10;10/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;11;11/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;12;12/2012;7
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;01;01/2012;19
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;02;02/2012;21
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;03;03/2012;27
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;04;04/2012;20
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;05;05/2012;20
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;06;06/2012;16
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;07;07/2012;15
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;08;08/2012;14
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;09;09/2012;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;10;10/2012;12
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;11;11/2012;21
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;12;12/2012;21
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo seguido de morte (latrocínio);03;03/2012;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;01;01/2012;2
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;02;02/2012;3
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;03;03/2012;5
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;04;04/2012;9
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;05;05/2012;5
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;06;06/2012;9
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;07;07/2012;7
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;08;08/2012;8
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;09;09/2012;4
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;10;10/2012;8
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;11;11/2012;5
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Estupro;12;12/2012;5
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;01;01/2012;57
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;02;02/2012;80
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;03;03/2012;74
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;04;04/2012;76
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;05;05/2012;87
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;06;06/2012;73
