Timestamp,How many hours did you sleep last night?,Recognition Score,Temporal Memory Score
2012-11-12 18:16:31,7.0,91.0,86.0
2012-12-13 14:31:16,10.269315673289183,95.0,78.0
2012-12-13 14:31:30,7.0,95.0,56.0
2012-12-13 14:32:01,5.0,91.0,81.0
2012-12-13 14:34:07,10.269315673289183,100.0,75.0
2012-12-13 14:34:16,7.0,87.0,80.0
2012-12-13 14:35:50,10.269315673289183,91.0,95.0
2012-12-13 14:36:36,10.269315673289183,95.0,91.0
2012-12-13 14:44:30,10.269315673289183,91.0,81.0
2012-12-13 14:44:57,7.0,91.0,86.0
2012-12-13 14:48:38,8.0,100.0,79.0
2012-12-13 14:54:44,10.269315673289183,100.0,87.0
2012-12-13 14:58:49,8.0,95.0,73.0
2012-12-13 15:01:56,7.0,79.0,78.0
2012-12-13 15:03:48,5.0,91.0,81.0
2012-12-13 15:07:31,7.0,100.0,95.0
2012-12-13 15:08:34,10.269315673289183,100.0,70.0
2012-12-13 15:12:18,10.269315673289183,100.0,95.0
2012-12-13 15:30:14,7.0,83.0,90.0
2012-12-13 16:00:34,10.269315673289183,95.0,73.0
2012-12-13 16:07:53,4.0,91.0,86.0
2012-12-13 16:08:13,4.0,95.0,73.0
2012-12-13 18:48:48,10.269315673289183,100.0,100.0
2012-12-13 20:19:32,7.0,70.0,82.0
2012-12-14 01:42:31,8.0,95.0,100.0
2012-12-14 01:55:20,9.0,45.0,54.0
2012-12-14 10:58:26,10.269315673289183,100.0,79.0
2012-12-16 11:43:14,9.0,95.0,78.0
2012-12-16 11:58:39,8.0,83.0,70.0
2012-12-16 12:12:48,8.0,95.0,78.0
2013-01-30 09:47:38,5.0,70.0,82.0
2013-01-30 09:50:29,7.0,100.0,87.0
2013-01-30 09:59:38,7.0,92.18397593046579,78.50050273712435
2013-01-30 10:07:29,4.0,79.0,42.0
2013-01-30 10:09:12,6.0,95.0,86.0
2013-01-30 10:27:49,10.269315673289183,95.0,73.0
2013-01-30 10:37:09,6.0,95.0,86.0
2013-01-30 10:58:57,5.0,72.0,54.0
2013-01-30 10:59:54,8.0,87.0,61.0
2013-01-30 11:00:31,8.0,95.0,78.0
2013-01-30 11:04:16,7.0,95.0,82.0
2013-01-30 11:04:40,3.0,91.0,86.0
2013-01-30 11:04:48,5.0,92.0,68.0
2013-01-30 11:07:59,7.0,78.0,79.0
2013-01-30 11:14:06,6.0,87.0,71.0
2013-01-30 11:18:41,8.0,100.0,75.0
2013-01-30 11:39:52,10.269315673289183,79.0,89.0
2013-01-30 11:40:10,10.269315673289183,95.0,91.0
2013-01-30 11:55:13,11.0,80.0,83.0
2013-01-30 11:57:46,10.269315673289183,95.0,95.0
2013-01-30 12:00:13,7.0,100.0,87.0
2013-01-30 12:07:42,0.0,83.0,80.0
92.1303083216488,92.1303083216488,92.1303083216488,92.1303083216488
2013-01-30 12:20:54,6.0,75.0,72.0
2013-01-30 12:21:39,0.0,92.0,68.0
2013-01-30 12:23:08,7.0,24.0,22.0
2013-01-30 12:24:49,7.0,83.0,50.0
2013-01-30 12:27:46,0.0,68.0,68.0
2013-01-30 12:46:41,6.0,91.0,77.0
2013-01-30 12:52:48,7.0,76.0,78.0
2013-01-30 12:58:29,7.0,95.0,56.0
2013-01-30 12:59:42,10.269315673289183,79.0,94.0
2013-01-30 13:07:51,9.0,95.0,73.0
2013-01-30 13:14:15,10.269315673289183,91.0,86.0
2013-01-30 13:23:32,8.0,100.0,83.0
2013-01-30 13:25:17,7.0,50.0,83.0
2013-01-30 13:25:58,10.269315673289183,91.0,86.0
2013-01-30 13:28:09,7.0,100.0,95.0
2013-01-30 13:28:51,7.0,95.0,82.0
2013-01-30 13:28:51,10.269315673289183,95.0,78.0
2013-01-30 13:29:55,5.0,91.0,90.0
92.1303083216488,92.1303083216488,92.1303083216488,92.1303083216488
2013-01-30 13:51:17,10.269315673289183,95.0,60.0
2013-01-30 13:52:54,8.0,100.0,79.0
2013-01-30 13:56:24,8.0,87.0,85.0
2013-01-30 13:57:42,7.0,100.0,86.0
2013-01-30 14:01:29,10.269315673289183,87.0,76.0
2013-01-30 14:04:23,6.0,100.0,86.0
2013-01-30 14:06:00,7.0,95.0,86.0
2013-01-30 14:45:11,10.269315673289183,95.0,74.0
2013-01-30 14:55:01,8.0,75.0,83.0
2013-01-30 15:07:50,7.0,91.0,90.0
2013-01-30 15:19:17,8.0,10.0,10.0
2013-01-30 15:23:18,10.269315673289183,87.0,85.0
2013-01-30 15:27:37,10.269315673289183,95.0,78.0
2013-01-30 16:10:00,10.269315673289183,91.0,59.0
2013-01-30 16:48:20,10.269315673289183,100.0,87.0
2013-01-30 16:51:28,7.0,62.0,80.0
2013-01-30 17:06:20,10.269315673289183,87.0,76.0
92.1303083216488,92.1303083216488,92.1303083216488,92.1303083216488
2013-01-30 17:12:33,7.0,75.0,61.0
2013-01-30 17:50:46,10.0,85.0,66.0
2013-01-30 18:02:38,8.0,87.0,57.0
2013-01-30 18:26:37,10.269315673289183,91.0,77.0
2013-01-30 19:01:05,9.0,92.0,68.0
2013-01-30 19:13:09,6.0,70.0,70.0
2013-01-30 19:38:56,10.269315673289183,100.0,83.0
2013-01-30 19:45:10,10.269315673289183,79.0,63.0
92.1303083216488,92.1303083216488,92.1303083216488,92.1303083216488
2013-01-30 20:05:08,7.0,100.0,79.0
2013-01-30 20:11:42,10.269315673289183,79.0,68.0
2013-01-30 20:16:59,10.269315673289183,92.18397593046579,78.50050273712435
2013-01-30 20:22:07,10.269315673289183,91.0,77.0
2013-01-30 20:22:13,10.269315673289183,79.0,68.0
2013-01-30 20:42:55,6.0,95.0,78.0
2013-01-30 20:44:51,0.0,92.0,68.0
2013-01-30 20:45:07,0.0,92.0,68.0
2013-01-30 20:52:38,7.0,92.18397593046579,78.50050273712435
2013-01-30 21:05:02,0.0,100.0,83.0
2013-01-30 21:05:27,8.0,100.0,83.0
2013-01-30 21:09:50,7.0,91.0,81.0
2013-01-30 21:16:14,10.269315673289183,100.0,75.0
