;[1;
34;'De futuro Pelé ao time B do Real': argentinos provocam Vinícius Jr. (Reprodução/Real Madrid TV);https://extra.globo.com/esporte/jornal-argentino-provoca-vinicius-junior-de-futuro-pele-ao-time-do-real-madrid-23014190.html
35;Trauco, do Flamengo, autoriza negociação com o Fenerbahçe (Divulgação/Peru);https://extra.globo.com/esporte/flamengo/lateral-trauco-do-flamengo-autoriza-agentes-negociarem-com-fenerbahce-23015204.html
36;Ex-juiz deixa polêmicas no país e vira técnico nos EUA: 'Não vou deixar de reclamar' (Arquivo Pessoal);https://globoesporte.globo.com/sp/tem-esporte/futebol/noticia/apos-renunciar-ao-quadro-da-cbf-arbitro-troca-de-lado-e-faz-estreia-como-tecnico.ghtml
37;Lisca detona árbitro e alfineta Nenê: 'Não precisa virar a cara' (Marcos Ribolli);https://globoesporte.globo.com/ce/futebol/times/ceara/noticia/lisca-detona-arbitragem-e-alfineta-nene-nao-precisa-virar-a-cara.ghtml
38;Com 2 de Gabiru, time de masters do Atlético-PR goleia em estreia (Divulgação);https://globoesporte.globo.com/pr/futebol/times/atletico-pr/noticia/com-dois-de-gabiru-masters-do-atletico-pr-estreia-com-goleada-no-interior-do-parana.ghtml
39;Mesmo após lesão, Beckham Jr. vira o wide receiver mais bem pago da NFL: US$ 95 mi (Infográfico);https://globoesporte.globo.com/futebol-americano/noticia/odell-beckham-jr-se-torna-o-wide-receiver-mais-bem-pago-da-nfl-us-95-milhoes.ghtml
40;Aos 41 anos, argentino Manu Ginóbili anuncia o fim da carreira (Getty Images);https://sportv.globo.com/site/nba/noticia/fim-da-linha-aos-41-anos-manu-ginobili-anuncia-sua-aposentadoria.ghtml
41;Após acidente na F-1, Massa detona a Indy: 'Não tem feito muito...' (Reprodução);https://globoesporte.globo.com/motor/formula-1/noticia/felipe-massa-critica-seguranca-da-indy-e-exalta-trabalho-feito-pela-formula-1.ghtml
42;mais esportes;https://globoesporte.globo.com/
43;Maria Flor realiza com marido 'o sonho da foto sexy na banheira' (Reprodução/Instagram);https://revistamarieclaire.globo.com/Celebridades/noticia/2018/08/maria-flor-posa-nua-em-banheira.html
44;Camila Queiroz divulga foto com as madrinhas e se declara: 'Amo' (Instagram / Reprodução);https://revistaquem.globo.com/QUEM-News/noticia/2018/08/camila-queiroz-faz-homenagem-para-madrinhas-de-casamento.html
45;Mazzafera mostra 'pré' e festão de Camila e Klebber em Jeri;
46;Após críticas por foto quente com Luana, Pedro Scooby volta a postar e rebate fã (Reprodução/Instagram);https://revistaglamour.globo.com/Celebridades/noticia/2018/08/apos-criticas-por-foto-quente-pedro-scooby-volta-posar-com-piovani.html
47;Ex-BBB Munik curte viagem com o marido: 'Camarão e a sereia' (Reprodução / Instagram);https://revistaglamour.globo.com/Celebridades/noticia/2018/08/munik-nunes-posa-linda-ao-lado-do-marido-em-cancun-o-camarao-e-sereia.html
48;Esteves lembra morte de irmã, depressão e assédio ao ser modelo (Nana Moraes);https://revistamarieclaire.globo.com/Mulheres-do-Mundo/noticia/2018/08/adriana-esteves-revela-assedio-quando-modelo-te-seguram-e-tocam-onde-nao-devem.html
49;Xuxa posta foto 'sem filtro' de lua de mel com Junno, e Angélica comenta: 'Lindos';https://revistaquem.globo.com/QUEM-News/noticia/2018/08/angelica-comenta-em-foto-de-xuxa-com-junno-lindos.html
50;Com 47 kg, atriz revela ter dificuldade para engordar: 'Biotipo' (Thiago de Lucena/Divulgação);https://gshow.globo.com/Famosos/noticia/carol-macedo-sobre-boa-forma-todo-dia-escuto-da-minha-mae-que-preciso-engordar.ghtml
